provider_id,name,city,state,latitude,longitude,specialty,secondary_specialty,specialty_category,experience_years,service_cost,wait_time_days,patient_rating,risk_rate,certified,background_check_passed,network_type,capacity,telehealth_available,hospital_affiliation,CMS_quality_score,region,target,keep_prob
P00001,Provider_1,City_1,WA,47.7511,-120.7401,Endocrinology,Ophthalmology,Specialty Care,1,400,5,2.87,0.96,False,True,Out-of-network,69,True,Hospital_1,3.11,West,1,0.99988866
P00002,Provider_2,City_2,NY,43.3494,-74.1679,Orthopedics,Ophthalmology,Surgical,23,400,56,1.51,0.89,True,True,Out-of-network,137,True,Hospital_2,4.82,East,1,0.99988866
P00003,Provider_3,City_3,AZ,34.1489,-110.9937,Psychiatry,Pediatrics,Specialty Care,9,250,40,4.37,0.09,False,True,Out-of-network,117,False,Hospital_3,4.64,West,1,0.9998622
P00004,Provider_4,City_4,CO,39.7001,-105.6321,Orthopedics,Neurology,Surgical,24,400,11,1.71,0.22,False,False,In-network,221,False,Hospital_4,4.25,West,1,0.9998615
P00005,Provider_5,City_5,PA,41.4033,-76.9945,Ophthalmology,Ophthalmology,Specialty Care,11,180,60,3.86,0.0,True,True,In-network,398,True,Hospital_5,2.67,West,1,0.999603
P00006,Provider_6,City_6,FL,28.2444,-81.5103,General Practice,ENT,Primary Care,2,100,55,4.06,0.63,True,False,Out-of-network,232,True,Hospital_6,2.98,North,1,0.99982846
P00007,Provider_7,City_7,AZ,34.3489,-110.7937,Gastroenterology,ENT,Specialty Care,5,420,26,4.67,0.74,False,False,Out-of-network,284,True,Hospital_7,2.53,East,1,0.99953103
P00008,Provider_8,City_8,CA,37.1283,-119.0679,Endocrinology,Cardiology,Specialty Care,15,400,49,1.95,0.33,False,True,In-network,130,False,Hospital_8,4.65,South,1,0.9998615
P00009,Provider_9,City_9,MA,42.8072,-70.9824,General Practice,Gastroenterology,Primary Care,31,100,59,1.27,0.09,True,False,Out-of-network,232,True,Hospital_9,2.63,South,1,0.99962914
P00010,Provider_10,City_10,NV,39.2526,-115.9694,Endocrinology,Psychiatry,Specialty Care,35,400,40,4.0,0.58,True,False,In-network,295,False,Hospital_10,3.27,West,1,0.9998808
P00011,Provider_11,City_11,MI,44.3148,-85.6024,ENT,Orthopedics,Specialty Care,36,220,11,1.77,0.78,True,False,In-network,385,True,Hospital_11,3.59,South,1,0.9998802
P00012,Provider_12,City_12,PA,41.2533,-77.1445,Dermatology,Ophthalmology,Specialty Care,39,200,15,1.05,0.28,False,False,In-network,117,False,Hospital_12,2.25,East,1,0.99945515
P00013,Provider_13,City_13,TX,32.0686,-99.8018,Orthopedics,Neurology,Surgical,28,400,22,4.04,0.37,True,True,In-network,500,False,Hospital_13,3.26,South,1,0.9998517
P00014,Provider_14,City_14,NC,35.9096,-78.8693,General Practice,Endocrinology,Primary Care,19,100,54,2.21,0.61,True,True,In-network,67,True,Hospital_14,2.96,East,1,0.9998276
P00015,Provider_15,City_15,NC,35.9596,-78.8193,Orthopedics,Psychiatry,Surgical,3,400,31,3.32,0.87,False,True,Out-of-network,394,True,Hospital_15,3.3,West,1,0.9998808
P00016,Provider_16,City_16,FL,28.2444,-81.5103,Neurology,General Practice,Specialty Care,27,450,8,1.51,0.34,False,False,In-network,433,True,Hospital_16,2.64,North,0,0.003107414
P00017,Provider_17,City_17,CA,37.0783,-119.1179,Pediatrics,Neurology,Primary Care,34,150,39,4.63,0.66,True,False,Out-of-network,61,True,Hospital_17,2.93,South,1,0.9997981
P00018,Provider_18,City_18,GA,32.5156,-82.5501,Cardiology,Neurology,Specialty Care,8,500,20,1.9,0.73,False,True,Out-of-network,157,True,Hospital_18,3.11,East,1,0.9991364
P00019,Provider_19,City_19,WA,48.1511,-120.3401,General Practice,Neurology,Primary Care,37,100,19,4.01,0.39,False,False,In-network,418,False,Hospital_19,2.11,South,1,0.9994167
P00020,Provider_20,City_20,TX,32.4186,-99.4518,Endocrinology,General Practice,Specialty Care,18,400,25,1.14,0.34,True,True,Out-of-network,132,False,Hospital_20,2.04,South,1,0.99945515
P00021,Provider_21,City_21,MA,42.4072,-71.3824,Pediatrics,Dermatology,Primary Care,1,150,27,1.77,0.36,False,True,In-network,371,False,Hospital_21,3.46,North,1,0.999851
P00022,Provider_22,City_22,NY,43.3494,-74.1679,ENT,General Practice,Specialty Care,35,220,27,2.29,0.31,False,True,In-network,220,True,Hospital_22,2.37,East,1,0.99945515
P00023,Provider_23,City_23,AZ,34.1489,-110.9937,Neurology,Psychiatry,Specialty Care,19,450,59,4.88,0.4,True,False,Out-of-network,277,False,Hospital_23,4.71,East,1,0.99893385
P00024,Provider_24,City_24,IL,40.7831,-89.2485,Dermatology,Urology,Specialty Care,27,200,46,4.47,0.38,False,False,Out-of-network,484,True,Hospital_24,1.14,West,1,0.9994167
P00025,Provider_25,City_25,IL,40.8331,-89.1985,Dermatology,General Practice,Specialty Care,4,200,46,3.11,0.86,True,False,In-network,136,False,Hospital_25,3.1,South,1,0.99988925
P00026,Provider_26,City_26,NV,39.0526,-116.1694,Cardiology,Orthopedics,Specialty Care,36,500,26,1.16,0.67,True,False,Out-of-network,299,True,Hospital_26,4.0,South,1,0.9990707
P00027,Provider_27,City_27,NV,39.1026,-116.1194,Neurology,Orthopedics,Specialty Care,20,450,59,4.03,0.01,True,True,In-network,383,True,Hospital_27,4.26,West,1,0.9988501
P00028,Provider_28,City_28,NC,36.1096,-78.6693,Dermatology,Urology,Specialty Care,14,200,44,3.67,0.27,True,False,In-network,319,False,Hospital_28,4.78,South,1,0.9998517
P00029,Provider_29,City_29,GA,32.5656,-82.5001,Dermatology,Orthopedics,Specialty Care,38,200,16,1.0,0.08,False,True,In-network,131,False,Hospital_29,2.36,West,1,0.99945515
P00030,Provider_30,City_30,AZ,34.4989,-110.6437,General Practice,Dermatology,Primary Care,7,100,60,4.71,0.66,True,False,In-network,156,True,Hospital_30,4.82,South,1,0.99988925
P00031,Provider_31,City_31,PA,41.2033,-77.1945,Dermatology,Dermatology,Specialty Care,30,200,14,4.92,0.35,True,False,In-network,396,True,Hospital_31,1.2,South,1,0.9994167
P00032,Provider_32,City_32,MA,42.4572,-71.3324,Gastroenterology,Urology,Specialty Care,10,420,8,4.54,0.97,False,False,Out-of-network,208,True,Hospital_32,1.01,East,1,0.9995641
P00033,Provider_33,City_33,NV,38.9026,-116.3194,Urology,Neurology,Specialty Care,21,380,54,3.85,0.39,False,True,In-network,384,False,Hospital_33,3.45,West,1,0.9998517
P00034,Provider_34,City_34,MI,44.4648,-85.4524,Pediatrics,ENT,Primary Care,6,150,15,4.13,0.76,True,False,Out-of-network,313,True,Hospital_34,3.72,West,1,0.9998808
P00035,Provider_35,City_35,NC,35.9596,-78.8193,Urology,Gastroenterology,Specialty Care,5,380,53,3.74,0.32,True,False,In-network,73,False,Hospital_35,2.71,North,1,0.99965656
P00036,Provider_36,City_36,OH,40.6673,-82.6571,Neurology,Neurology,Specialty Care,30,450,28,2.93,0.0,True,False,In-network,238,False,Hospital_36,3.99,West,1,0.99892586
P00037,Provider_37,City_37,CA,37.0783,-119.1179,Urology,Neurology,Specialty Care,6,380,9,2.67,0.52,True,True,In-network,436,True,Hospital_37,4.26,North,1,0.9998802
P00038,Provider_38,City_38,PA,41.5533,-76.8445,Psychiatry,ENT,Specialty Care,27,250,20,3.93,0.45,False,True,In-network,102,True,Hospital_38,4.79,West,1,0.9998622
P00039,Provider_39,City_39,MI,44.7148,-85.2024,Cardiology,Pediatrics,Specialty Care,6,500,39,3.1,0.97,True,False,Out-of-network,112,True,Hospital_39,3.44,East,1,0.9991406
P00040,Provider_40,City_40,OH,40.8673,-82.4571,Urology,Orthopedics,Specialty Care,21,380,5,3.79,0.65,True,False,Out-of-network,499,True,Hospital_40,3.28,East,1,0.9998808
P00041,Provider_41,City_41,NY,43.2994,-74.2179,Dermatology,General Practice,Specialty Care,22,200,30,4.94,0.09,True,False,Out-of-network,457,True,Hospital_41,2.62,East,1,0.999603
P00042,Provider_42,City_42,OH,40.4673,-82.8571,Cardiology,Psychiatry,Specialty Care,32,500,57,5.0,0.24,True,True,Out-of-network,343,True,Hospital_42,2.22,South,0,0.0021275654
P00043,Provider_43,City_43,IL,40.7331,-89.2985,Orthopedics,Orthopedics,Surgical,24,400,21,4.24,0.24,False,False,In-network,313,True,Hospital_43,4.2,North,1,0.9998517
P00044,Provider_44,City_44,WA,47.9011,-120.5901,Orthopedics,ENT,Surgical,10,400,32,1.36,0.43,True,False,Out-of-network,397,False,Hospital_44,4.95,West,1,0.999851
P00045,Provider_45,City_45,TX,32.1686,-99.7018,Gastroenterology,Endocrinology,Specialty Care,22,420,45,3.47,0.78,True,False,Out-of-network,489,False,Hospital_45,1.57,West,1,0.99953103
P00046,Provider_46,City_46,CA,37.0283,-119.1679,Cardiology,ENT,Specialty Care,3,500,38,1.16,0.53,False,False,In-network,491,True,Hospital_46,3.94,West,1,0.9990707
P00047,Provider_47,City_47,MI,44.6148,-85.3024,Endocrinology,Dermatology,Specialty Care,36,400,18,2.9,0.03,True,True,Out-of-network,307,False,Hospital_47,1.3,South,1,0.9994137
P00048,Provider_48,City_48,OH,40.7673,-82.5571,Pediatrics,Gastroenterology,Primary Care,20,150,34,3.61,0.01,True,True,Out-of-network,351,True,Hospital_48,4.39,East,1,0.9998517
P00049,Provider_49,City_49,GA,32.5656,-82.5001,Dermatology,Dermatology,Specialty Care,32,200,44,3.13,0.8,True,True,Out-of-network,391,True,Hospital_49,2.68,South,1,0.99968076
P00050,Provider_50,City_50,GA,32.6156,-82.4501,Ophthalmology,Ophthalmology,Specialty Care,23,180,51,1.43,0.86,True,False,In-network,92,False,Hospital_50,3.96,South,1,0.99988866
P00051,Provider_51,City_51,NV,38.8026,-116.4194,ENT,Ophthalmology,Specialty Care,19,220,51,3.35,0.54,True,False,Out-of-network,335,True,Hospital_51,2.7,North,1,0.99970275
P00052,Provider_52,City_52,NY,43.3494,-74.1679,Ophthalmology,Gastroenterology,Specialty Care,13,180,28,2.9,0.61,False,False,Out-of-network,290,True,Hospital_52,2.23,South,1,0.99952865
